"COUNTRY","INDICATOR","FREQUENCY","TIME_PERIOD","OBS_VALUE","SCALE"
"Korea, Republic of","Unemployment rate","Annual","1988","2.525","Units"
"Korea, Republic of","Unemployment rate","Annual","1989","2.583","Units"
"Korea, Republic of","Unemployment rate","Annual","1990","2.458","Units"
"Korea, Republic of","Unemployment rate","Annual","1991","2.45","Units"
"Korea, Republic of","Unemployment rate","Annual","1992","2.525","Units"
"Korea, Republic of","Unemployment rate","Annual","1993","2.9","Units"
"Korea, Republic of","Unemployment rate","Annual","1994","2.475","Units"
"Korea, Republic of","Unemployment rate","Annual","1995","2.067","Units"
"Korea, Republic of","Unemployment rate","Annual","1996","2.058","Units"
"Korea, Republic of","Unemployment rate","Annual","1997","2.617","Units"
"Korea, Republic of","Unemployment rate","Annual","1998","6.95","Units"
"Korea, Republic of","Unemployment rate","Annual","1999","6.583","Units"
"Korea, Republic of","Unemployment rate","Annual","2000","4.425","Units"
"Korea, Republic of","Unemployment rate","Annual","2001","4","Units"
"Korea, Republic of","Unemployment rate","Annual","2002","3.258","Units"
"Korea, Republic of","Unemployment rate","Annual","2003","3.55","Units"
"Korea, Republic of","Unemployment rate","Annual","2004","3.658","Units"
"Korea, Republic of","Unemployment rate","Annual","2005","3.75","Units"
"Korea, Republic of","Unemployment rate","Annual","2006","3.475","Units"
"Korea, Republic of","Unemployment rate","Annual","2007","3.258","Units"
"Korea, Republic of","Unemployment rate","Annual","2008","3.175","Units"
"Korea, Republic of","Unemployment rate","Annual","2009","3.633","Units"
"Korea, Republic of","Unemployment rate","Annual","2010","3.708","Units"
"Korea, Republic of","Unemployment rate","Annual","2011","3.408","Units"
"Korea, Republic of","Unemployment rate","Annual","2012","3.225","Units"
"Korea, Republic of","Unemployment rate","Annual","2013","3.1","Units"
"Korea, Republic of","Unemployment rate","Annual","2014","3.492","Units"
"Korea, Republic of","Unemployment rate","Annual","2015","3.592","Units"
"Korea, Republic of","Unemployment rate","Annual","2016","3.675","Units"
"Korea, Republic of","Unemployment rate","Annual","2017","3.683","Units"
"Korea, Republic of","Unemployment rate","Annual","2018","3.833","Units"
"Korea, Republic of","Unemployment rate","Annual","2019","3.783","Units"
"Korea, Republic of","Unemployment rate","Annual","2020","3.955","Units"
"Korea, Republic of","Unemployment rate","Annual","2021","3.675","Units"
"Korea, Republic of","Unemployment rate","Annual","2022","2.883","Units"
