STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,CHAPTER,Chapter,TIME_PERIOD,Time period,OBS_VALUE,Observation value,ADJUSTMENT,Adjustment,COUNTERPART_AREA,Counterpart area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,CONSOLIDATION,Consolidation status,ACCOUNTING_ENTRY,Accounting entry,TRANSACTION,Transaction,INSTR_ASSET,Instruments and assets,MATURITY,Original and residual maturity,PRODUCT,Product,PENSION_FUNDTYPE,Pension fund type,CURRENCY_DENOM,Currency of denomination,VALUATION,Valuation,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,REF_YEAR_PRICE,Price reference year,BASE_PER,Base period,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),NAAG Chapter 1: GDP,I,A,Annual,FIN,Finland,B1GQ_R,Real gross domestic product,USD_PPP,"US dollars, PPP converted",NAAG_I,Part I: GDP,1976,,117.184357449105,,N,Neither seasonally adjusted nor calendar adjusted,D,Domestic (home or reference area),S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B1GQ,Gross domestic product,_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),N,Non transformed data,,,2020,,,,F,Free (free for publication),2,Two,E,Estimated value,9,Billions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),NAAG Chapter 1: GDP,I,A,Annual,FIN,Finland,B1GQ_R,Real gross domestic product,USD_PPP,"US dollars, PPP converted",NAAG_I,Part I: GDP,1975,,116.782179597973,,N,Neither seasonally adjusted nor calendar adjusted,D,Domestic (home or reference area),S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B1GQ,Gross domestic product,_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),N,Non transformed data,,,2020,,,,F,Free (free for publication),2,Two,E,Estimated value,9,Billions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),NAAG Chapter 1: GDP,I,A,Annual,FIN,Finland,B1GQ_R,Real gross domestic product,USD_PPP,"US dollars, PPP converted",NAAG_I,Part I: GDP,1974,,114.711749836732,,N,Neither seasonally adjusted nor calendar adjusted,D,Domestic (home or reference area),S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B1GQ,Gross domestic product,_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),N,Non transformed data,,,2020,,,,F,Free (free for publication),2,Two,E,Estimated value,9,Billions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),NAAG Chapter 1: GDP,I,A,Annual,FIN,Finland,B1GQ_R,Real gross domestic product,USD_PPP,"US dollars, PPP converted",NAAG_I,Part I: GDP,1973,,111.115460545877,,N,Neither seasonally adjusted nor calendar adjusted,D,Domestic (home or reference area),S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B1GQ,Gross domestic product,_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),N,Non transformed data,,,2020,,,,F,Free (free for publication),2,Two,E,Estimated value,9,Billions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),NAAG Chapter 1: GDP,I,A,Annual,FIN,Finland,B1GQ_R,Real gross domestic product,USD_PPP,"US dollars, PPP converted",NAAG_I,Part I: GDP,1972,,103.861922609882,,N,Neither seasonally adjusted nor calendar adjusted,D,Domestic (home or reference area),S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B1GQ,Gross domestic product,_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),N,Non transformed data,,,2020,,,,F,Free (free for publication),2,Two,E,Estimated value,9,Billions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),NAAG Chapter 1: GDP,I,A,Annual,FIN,Finland,B1GQ_R,Real gross domestic product,USD_PPP,"US dollars, PPP converted",NAAG_I,Part I: GDP,2006,,276.770276674182,,N,Neither seasonally adjusted nor calendar adjusted,D,Domestic (home or reference area),S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B1GQ,Gross domestic product,_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),N,Non transformed data,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,9,Billions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),NAAG Chapter 1: GDP,I,A,Annual,FIN,Finland,B1GQ_R,Real gross domestic product,USD_PPP,"US dollars, PPP converted",NAAG_I,Part I: GDP,2005,,266.07518958708,,N,Neither seasonally adjusted nor calendar adjusted,D,Domestic (home or reference area),S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B1GQ,Gross domestic product,_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),N,Non transformed data,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,9,Billions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),NAAG Chapter 1: GDP,I,A,Annual,FIN,Finland,B1GQ_R,Real gross domestic product,USD_PPP,"US dollars, PPP converted",NAAG_I,Part I: GDP,2004,,258.885148360888,,N,Neither seasonally adjusted nor calendar adjusted,D,Domestic (home or reference area),S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B1GQ,Gross domestic product,_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),N,Non transformed data,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,9,Billions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),NAAG Chapter 1: GDP,I,A,Annual,FIN,Finland,B1GQ_R,Real gross domestic product,USD_PPP,"US dollars, PPP converted",NAAG_I,Part I: GDP,2003,,248.915151923759,,N,Neither seasonally adjusted nor calendar adjusted,D,Domestic (home or reference area),S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B1GQ,Gross domestic product,_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),N,Non transformed data,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,9,Billions,_Z,Not applicable
DATAFLOW,OECD.SDD.NAD:DSD_NAAG@DF_NAAG_I(1.0),NAAG Chapter 1: GDP,I,A,Annual,FIN,Finland,B1GQ_R,Real gross domestic product,USD_PPP,"US dollars, PPP converted",NAAG_I,Part I: GDP,2002,,244.006235297117,,N,Neither seasonally adjusted nor calendar adjusted,D,Domestic (home or reference area),S1,Total economy,S1,Total economy,_Z,Not applicable,B,Balance (revenue minus expenditure),B1GQ,Gross domestic product,_Z,Not applicable,,,,,,,,,,,LR,Chain linked volume (rebased),N,Non transformed data,,,2020,,,,F,Free (free for publication),2,Two,A,Normal value,9,Billions,_Z,Not applicable
