DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,EER_TYPE:Type,EER_BASKET:Basket,REF_AREA:Reference area,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1999-04-30,F:Free,,A:Normal value,98.77
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1999-05-31,F:Free,,A:Normal value,98.79
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1999-06-30,F:Free,,A:Normal value,97.84
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1999-07-31,F:Free,,A:Normal value,97.53
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1999-08-31,F:Free,,A:Normal value,97.9
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1999-09-30,F:Free,,A:Normal value,97.25
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1999-10-31,F:Free,,A:Normal value,98.07
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1999-11-30,F:Free,,A:Normal value,97.17
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,1999-12-31,F:Free,,A:Normal value,97.06
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2000-01-31,F:Free,,A:Normal value,96.53
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2000-02-29,F:Free,,A:Normal value,96.36
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2000-03-31,F:Free,,A:Normal value,95.96
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2000-04-30,F:Free,,A:Normal value,95.44
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2000-05-31,F:Free,,A:Normal value,94.92
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2000-06-30,F:Free,,A:Normal value,96.18
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2000-07-31,F:Free,,A:Normal value,95.72
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2000-08-31,F:Free,,A:Normal value,94.96
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2000-09-30,F:Free,,A:Normal value,94.19
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2000-10-31,F:Free,,A:Normal value,94.06
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2000-11-30,F:Free,,A:Normal value,94.26
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2000-12-31,F:Free,,A:Normal value,95.3
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2001-01-31,F:Free,,A:Normal value,96.56
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2001-02-28,F:Free,,A:Normal value,96.04
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2001-03-31,F:Free,,A:Normal value,96.01
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2001-04-30,F:Free,,A:Normal value,95.89
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2001-05-31,F:Free,,A:Normal value,95.09
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2001-06-30,F:Free,,A:Normal value,94.55
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2001-07-31,F:Free,,A:Normal value,94.89
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2001-08-31,F:Free,,A:Normal value,95.7
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2001-09-30,F:Free,,A:Normal value,96.04
"BIS,WS_EER,1.0",M.R.B.AT,M:Monthly,R:Real,B:Broad (64 economies),AT:Austria,"Index, 2020 = 100",,2001-10-31,F:Free,,A:Normal value,96.11
